ID,Model ID,Genes,Rxns,Metabolites,Objective Function

AG,iJO1366,1367,2587,1808,BIOMASS_Ec_iJO1366_core_53p95M

GD,iHK1487,1488,2705,1880,BIOMASS_Ec_iHK1487_core

